"Family","coef_sequencing","coef_resolution"
"Rhyacichthyidae",0.33,1
"Rivulidae",0.16,0.94
"Rondeletiidae",0.5,1
"Saccopharyngidae",0.1,1
"Salangidae",0.5,0.3
"Salmonidae",0.24,0.3
"Samaridae",0.07,1
"Scaridae",0.17,0.82
"Scatophagidae",0.5,1
"Schilbeidae",0.12,1
"Schindleriidae",0.4,1
"Sciaenidae",0.13,0.87
"Scoloplacidae",0,0
"Scomberesocidae",0.2,1
"Scombridae",0.56,0.67
"Scombrolabracidae",1,1
"Scombropidae",0.67,0.5
"Scopelarchidae",0.06,1
"Scophthalmidae",0.11,1
"Scorpaenidae",0.01,1
"Scyliorhinidae",0.04,1
"Scytalinidae",0,0
"Sebastidae",0.18,0.17
"Serpenticobitidae",0.33,1
"Serranidae",0.12,0.8
"Serrasalmidae",0.06,0.67
"Serrivomeridae",0.44,1
"Setarchidae",0,0
"Siganidae",0.34,0.5
"Sillaginidae",0.21,1
"Siluridae",0.12,0.62
"Sisoridae",0.14,0.4
"Soleidae",0.07,1
"Solenostomidae",0.33,1
"Somniosidae",0.35,0.33
"Sparidae",0.11,0.67
"Sphyraenidae",0.18,0.6
"Sphyrnidae",0.6,1
"Squalidae",0.17,0.33
"Squatinidae",0.24,0.33
"Stegostomatidae",1,1
"Stephanoberycidae",0,0
"Sternoptychidae",0,0
"Sternopygidae",0.07,0.67
"Stichaeidae",0.04,1
"Stomiidae",0.01,1
"Stromateidae",0.47,0.25
"Stylephoridae",1,1
"Symphysanodontidae",0,0
"Synanceiidae",0.03,1
"Synaphobranchidae",0.15,0.67
"Synbranchidae",0.08,1
"Syngnathidae",0.13,0.75
"Synodontidae",0.12,1
"Tarumaniidae",0,0
"Telmatherinidae",0.39,0.71
"Terapontidae",0.2,0.92
"Tetrabrachiidae",0.5,1
"Tetragonuridae",0.67,1
"Tetraodontidae",0.34,0.63
"Tetrarogidae",0,0
"Thalasseleotrididae",0,0
"Thaumatichthyidae",0.12,1
"Torpedinidae",0.08,1
"Toxotidae",0.14,1
"Trachichthyidae",0.02,1
"Trachinidae",0.11,1
"Trachipteridae",0.2,1
"Triacanthidae",0.29,1
"Triacanthodidae",0.09,1
"Triakidae",0.13,1
"Trichiuridae",0.11,1
"Trichodontidae",1,1
"Trichomycteridae",0.01,1
"Trichonotidae",0.2,1
"Triglidae",0.02,0.33
"Triodontidae",1,1
"Triportheidae",0,0
"Tripterygiidae",0.03,1
"Umbridae",0.57,1
"Uranoscopidae",0.06,1
"Urolophidae",0.04,1
"Urotrygonidae",0.05,1
"Vaillantellidae",0.33,1
"Valenciidae",0.67,1
"Veliferidae",0,0
"Xenisthmidae",0,0
"Xiphiidae",1,1
"Zanclidae",1,1
"Zaproridae",0,0
"Zeidae",0.5,1
"Zenarchopteridae",0.02,1
"Zeniontidae",0.14,1
"Zoarcidae",0.01,0.5
